pumpFlow,pumpRatedHead,pumpRatedRpm,pumpRunRpm,pumpEff,flowLossCoeff,heatExchFlowLossCoef,heatExchValveOpen,denitFlowLossCoef,ozoneFlowLossCoef,ozoneValveOpen,denitValveOpen,deaerationFlowLossCoef,pumpEffOut,pumpPower,pumpFlow,headExchFlow,heatExch2Flow,sandPowerOut,sandPowerIn,sandFlow,heatExchPowerIn,heatExchPowerOut,juncPowerIn,ozone1_6Flow,ozone1_6PowerIn,denitrifictionPowerIn,denitrificationFlow,denitificationPowerOut,ozone7_12Flow,deareationPowerIn,deareationFlow,powerIn,bypassFlow,deareationPowerOut
1300,40,1000,1000,0.6,0.1,0.1,1,0.1,6,1,1,2,0.437039165,11.70747151,538.5410774,-18053.07721,-1332.832374,53.83540712,53.83564655,-288.2663345,53.68122762,53.67609878,53.79215504,-681.0559239,53.76169717,53.78684049,-3704.245893,53.74731682,-617.3743159,53.68144404,-19385.90958,31.99767622,-11595.32815,32.02470406
1300,40,1000,1000,0.6,0.1,0.1,1,3,0.1,0.1,0.1,2,0.436387449,11.6947587,537.0410884,-18002.61687,-1329.295389,53.84008062,53.84031869,-287.4435665,53.68676025,53.6816586,53.7987002,-172.3863562,53.56096623,53.62781847,-879.5408389,53.56094955,-146.59014,53.56085478,-19331.91226,31.99772506,-17418.05328,32.02460679
1300,40,1000,1000,0.6,0.1,0.1,1,3,0.1,0.1,1,0.1,0.545252463,16.26415504,1638.184557,-55104.18876,-3866.098326,44.32934676,44.33168926,-901.8219605,42.90357815,42.86039667,43.95191791,-469.8450677,42.17836714,43.94586013,-4521.432343,42.1793669,-753.5720584,42.17773126,-58970.28708,31.92526367,-51629.78434,32.16135692
1300,40,1000,1000,0.6,0.1,0.1,1,3,0.1,1,0.1,0.1,0.534345747,16.23556976,1676.742678,-56404.77948,-3953.497803,43.77301727,43.77547419,-923.5857944,42.27930058,42.23414504,43.36004768,-4554.951791,42.72160045,42.8210654,-1357.248341,42.66196521,-226.2080574,42.66181789,-60358.27728,31.92139746,-31671.3182,32.16846655
1300,40,1000,1000,0.6,0.1,0.1,1,3,0.1,1,1,2,0.437211574,11.71083921,538.9387649,-18066.45525,-1333.770484,53.83416413,53.83440392,-288.4844811,53.67975655,53.67462049,53.78991131,-1496.145986,53.71991138,53.77537714,-845.8954825,53.71355141,-140.9825806,53.71346027,-19400.22573,31.99766326,-9577.454337,32.02472988
1300,40,1000,1000,0.6,0.1,0.1,1,3,6,0.1,0.1,0.1,0.546401522,16.26661328,1633.797151,-54956.20199,-3856.150102,44.39163,44.39395967,-899.3462998,42.97348274,42.93052308,44.01688044,-481.4383097,42.16343369,42.67693409,-2463.500651,42.15250906,-410.583443,42.12337433,-58812.35209,31.9256978,-53460.22159,32.16055792
1300,40,1000,1000,0.6,0.1,0.1,1,3,6,0.1,1,2,0.436468169,11.69633178,537.2266497,-18008.85915,-1329.733037,53.83950374,53.83974197,-287.5453463,53.68607732,53.68097231,53.79800115,-164.5490201,53.58043257,53.79728483,-1558.222519,53.58741122,-259.7037534,53.57575157,-19338.59218,31.99771902,-16793.07555,32.02461881
1300,40,1000,1000,0.6,0.1,0.1,1,3,6,1,0.1,2,0.436843098,11.70364402,538.0894096,-18037.88272,-1331.767513,53.83681685,53.83705587,-288.0185797,53.68289654,53.6777759,53.79437703,-852.4735762,53.77073175,53.68741072,-681.0805358,53.64731585,-113.5134228,53.64508836,-19369.65023,31.99769095,-13573.72824,32.02467474
1300,40,1000,1000,0.6,0.1,0.1,1,3,6,1,1,0.1,0.539495983,16.25014346,1659.179449,-55812.35595,-3913.691639,44.02842276,44.0308272,-913.6708623,42.56587287,42.52162209,43.63488517,-2384.516425,43.42275793,43.59777806,-3563.086194,42.50084539,-593.8477002,42.43990468,-59726.04758,31.9231698,-41855.86285,32.1652087
1300,40,1000,1000,0.6,0.1,6,0.1,0.1,0.1,0.1,0.1,0.1,0.545985156,16.26573701,1635.210413,-58306.36131,-556.8627513,44.37154945,44.37388406,-900.146408,42.81120052,42.7575183,44.01286119,-482.9956727,42.14486485,42.16892269,-2889.803289,42.14486106,-481.6338815,42.14419268,-58863.22406,31.92553155,-53075.44673,32.16086221
1300,40,1000,1000,0.6,0.1,6,0.1,0.1,0.1,0.1,1,2,0.436963141,11.70598714,538.3617306,-19190.04846,-189.404872,53.83596685,53.83620612,-288.1680152,53.66634402,53.6601332,53.79426971,-116.2763274,53.66757353,53.7825504,-6233.097864,53.67060787,-1038.849644,53.66749836,-19379.45333,31.99768188,-12448.69751,32.0246928
1300,40,1000,1000,0.6,0.1,6,0.1,0.1,0.1,1,0.1,2,0.437206014,11.71073057,538.9217154,-19210.01623,-189.595705,53.83421716,53.83445694,-288.4751888,53.66424155,53.6580182,53.79122418,-1525.090023,53.71928849,53.71346499,-533.7859189,53.71264405,-88.96431984,53.71258653,-19399.61193,31.99766362,-9715.285877,32.02472917
1300,40,1000,1000,0.6,0.1,6,0.1,0.1,0.1,1,1,0.1,0.532757041,16.23074495,1681.757636,-59966.51169,-572.2889168,43.69943039,43.70190328,-926.4201996,42.04906366,41.99236592,43.29761141,-3211.190762,42.75900632,43.20911068,-12732.39648,42.74224415,-2122.06608,42.72927563,-60538.8006,31.92085869,-28539.25955,32.16945451
1300,40,1000,1000,0.6,0.1,6,0.1,0.1,6,0.1,0.1,2,0.436407873,11.69515668,537.0837752,-19144.47909,-188.9697899,53.83994765,53.84018576,-287.4670406,53.67112797,53.66494565,53.79972363,-169.4556317,53.56974882,53.57268365,-1013.92833,53.56972145,-168.988055,53.56478444,-19333.44888,31.99772347,-17302.78676,32.02460995
1300,40,1000,1000,0.6,0.1,6,0.1,0.1,6,0.1,1,0.1,0.540684566,16.25325058,1654.780359,-59004.3422,-563.3480274,44.09182851,44.09422075,-911.1905936,42.49395983,42.43902015,43.71959789,-389.3417189,42.41436164,43.67138907,-12923.45302,43.19017626,-2153.908837,42.38815492,-59567.69023,31.92358312,-44308.18689,32.16444684
1300,40,1000,1000,0.6,0.1,6,0.1,0.1,6,1,0.1,0.1,0.539765576,16.25085749,1658.039134,-59120.56877,-564.4286976,44.04484694,44.04724885,-913.0299712,42.44068128,42.38553054,43.66985594,-2450.394842,43.46711733,42.46955198,-2295.47592,42.45436993,-382.57932,42.42906651,-59684.99747,31.92325637,-42687.15249,32.1650477
1300,40,1000,1000,0.6,0.1,6,0.1,0.1,6,1,1,2,0.437044265,11.70757111,538.5486791,-19196.71461,-189.4685921,53.83538308,53.83562253,-288.2705634,53.66564238,53.65942738,53.7933164,-680.5597431,53.76263072,53.78803861,-3705.362467,53.74847989,-617.5604112,53.6825487,-19386.1832,31.99767578,-11597.46227,32.02470494
1300,40,1000,1000,0.6,0.1,6,0.1,3,0.1,0.1,0.1,2,0.436392756,11.69486209,537.0490291,-19143.24012,-188.957953,53.84005564,53.84029372,-287.4479826,53.67125778,53.66507623,53.79985248,-172.3856219,53.56210657,53.62896218,-879.5532198,53.5620899,-146.5922033,53.56199513,-19332.19807,31.9977246,-17418.33112,32.0246077
