ratedSpeed,flc,ratedEff,ratedHead,ratedFlow,csa,runSpeed,pumpHp,totalFlowOut,pskFlow2,pskFlow1,pIn,pOut1
1600,300,0.9,40,1300,0.1,800,1.507664403,22862.72803,-675.6839361,-676.1539254,2.205624986,2.482122388
1600,300,0.9,40,1300,0.1,1600,11.07613674,45727.37386,-1351.392392,-1352.327456,2.20283792,3.308366952
1600,300,0.9,40,1300,0.5,800,1.374726138,37321.2059,-1111.141847,-1113.126354,2.203427151,2.243545416
1600,300,0.9,40,1300,0.5,1600,10.01631757,74670.0144,-2221.836758,-2225.784853,2.197237965,2.357351216
1600,300,0.9,40,2000,0.1,800,2.055487758,25218.97565,-746.1026493,-746.7459615,2.205442925,2.54259476
1600,300,0.9,40,2000,0.1,1600,15.45878452,50440.34513,-1492.235936,-1493.516405,2.202107871,3.55079559
1600,300,0.9,40,2000,0.5,800,2.106468198,53309.90631,-1606.597202,-1612.702546,2.20110402,2.284894344
1600,300,0.9,40,2000,0.5,1600,15.86684548,106665.4033,-3213.225884,-3225.407259,2.187901392,2.523144066
800,160,0.75,30,1650,0.3,1200,39.62054814,129544.9989,-3891.043315,-3903.85407,2.178678253,2.845303428
1600,160,0.75,30,1650,0.3,1200,5.177316668,64764.80973,-1945.344692,-1951.757023,2.199456881,2.366022057
1200,20,0.75,30,1650,0.3,1200,11.22689209,94006.09322,-2833.858711,-2844.932333,2.19199263,2.295569097
1200,300,0.75,30,1650,0.3,1200,12.30840153,80265.80664,-2404.308237,-2411.160625,2.195840007,2.629803993
1200,160,0.6,30,1650,0.3,1200,14.8369256,86360.24045,-2593.82694,-2602.368446,2.194207819,2.490306705
1200,160,0.9,30,1650,0.3,1200,9.97673502,86360.24045,-2593.82694,-2602.368446,2.194207819,2.490306705
1200,160,0.75,20,1650,0.3,1200,8.229772513,81071.30179,-2452.438934,-2463.439307,2.195631237,2.460636377
1200,160,0.75,40,1650,0.3,1200,15.54210188,89406.91437,-2673.988759,-2680.947056,2.193347308,2.507823127
1200,160,0.75,30,1300,0.3,1200,9.193703728,71778.93585,-2141.725555,-2146.474037,2.197917748,2.399593426
1200,160,0.75,30,2000,0.3,1200,14.73536004,98635.86586,-2982.466955,-2995.638226,2.190551832,2.582487326
1200,160,0.75,30,1650,0.1,1200,12.39033813,54835.93208,-1627.722288,-1629.917012,2.200836119,3.067857174
1200,160,0.75,30,1650,0.5,1200,11.45475051,91763.24641,-2763.163889,-2773.442175,2.1926617,2.354982596
1200,160,0.75,30,1650,0.3,800,3.623693964,57566.49279,-1729.189599,-1734.892404,2.200872578,2.332493535
1200,160,0.75,30,1650,0.3,1600,28.00376095,115155.3344,-3458.514426,-3469.896808,2.184868021,2.711403883
1200,160,0.75,30,1650,0.3,1200,11.92081125,86360.24045,-2593.82694,-2602.368446,2.194207819,2.490306705
802.7972028,44.47552448,0.605244755,32.0979021,1493.356643,0.302797203,1054.545455,30.14200405,112152.6817,-3361.493665,-3371.438465,2.185973163,2.391302324
1065.734266,138.4615385,0.892657343,24.82517483,1512.937063,0.140559441,1110.48951,9.169315486,66292.87917,-1977.99547,-1982.308764,2.198607597,2.778833451
1502.097902,171.7482517,0.729020979,39.23076923,1552.097902,0.137762238,1278.321678,9.903041293,58120.40161,-1727.54169,-1730.243448,2.200241933,2.763719128
1429.370629,132.5874126,0.705944056,33.77622378,1620.629371,0.294405594,1518.881119,16.50797282,92955.35223,-2786.411027,-2794.690623,2.19230612,2.495419387
1530.06993,58.18181818,0.785664336,29.02097902,1473.776224,0.204895105,1328.671329,6.443721346,69809.26208,-2091.987115,-2098.089498,2.198365935,2.356647442
830.7692308,173.7062937,0.724825175,38.11188811,1973.076923,0.134965035,892.3076923,24.26378915,79714.42771,-2374.796407,-2379.416032,2.195453105,3.316236348
1289.51049,261.8181818,0.836013986,26.22377622,1522.727273,0.286013986,1183.216783,6.966410025,68686.82946,-2057.302509,-2063.129875,2.198614563,2.505116812
1278.321678,283.3566434,0.716433566,20.76923077,1845.804196,0.238461538,1586.013986,19.54182713,88883.31725,-2671.788231,-2680.890692,2.192966292,2.965121814
1121.678322,252.027972,0.678671329,38.25174825,1924.125874,0.196503497,1205.594406,25.5233156,87310.98547,-2606.960482,-2612.980614,2.193414481,3.136520489
1546.853147,275.5244755,0.647202797,32.93706294,1454.195804,0.465034965,1099.300699,4.766965977,57459.82222,-1718.417113,-1722.851586,2.200892723,2.301099181
1088.111888,224.6153846,0.754195804,31.53846154,1429.72028,0.283216783,1597.202797,33.86754481,110021.6786,-3284.616332,-3292.221694,2.186729061,2.881363145
1255.944056,81.67832168,0.896853147,36.43356643,1566.783217,0.188111888,1406.993007,16.04286589,93251.70192,-2786.796556,-2793.697443,2.192216651,2.615985388
1586.013986,46.43356643,0.854895105,20.06993007,1796.853147,0.425874126,1591.608392,7.627185949,97605.19397,-2988.375334,-3008.060715,2.190881068,2.311628161
881.1188811,34.68531469,0.798251748,25.38461538,1346.503497,0.207692308,998.6013986,10.73898864,85819.99191,-2572.182237,-2579.766649,2.194359739,2.356736969
1093.706294,248.1118881,0.657692308,38.53146853,1698.951049,0.104195804,1172.027972,22.48665212,57282.52148,-1696.459827,-1698.145188,2.200394429,3.534315105
869.9300699,226.5734266,0.701748252,23.28671329,1679.370629,0.487412587,825.1748252,8.485411054,84270.4326,-2550.74435,-2562.451439,2.194781851,2.373991288
987.4125874,77.76223776,0.603146853,30.41958042,1757.692308,0.291608392,1379.020979,42.00585653,132910.6819,-4008.098132,-4024.023088,2.177776019,2.607742951
1043.356643,156.0839161,0.663986014,28.32167832,1703.846154,0.327972028,1468.531469,36.04828382,125685.7254,-3785.372558,-3799.595758,2.180783237,2.718185815
1004.195804,255.9440559,0.804545455,32.7972028,1767.482517,0.297202797,1216.783217,23.56556235,105344.1032,-3159.512027,-3169.191048,2.1883484,2.851143412
1155.244755,48.39160839,0.842307692,37.27272727,1821.328671,0.467832168,920.2797203,6.960126401,82768.91307,-2494.121778,-2503.694885,2.195187557,2.275293828
1412.587413,120.8391608,0.689160839,21.88811189,1938.811189,0.193706294,1412.587413,11.84563479,82229.19423,-2484.885344,-2495.535223,2.194802057,2.645291218
1099.300699,273.5664336,0.682867133,28.6013986,1968.181818,0.353146853,1144.055944,17.24690315,98038.91394,-2961.126424,-2973.647528,2.190739886,2.6500807
1395.804196,85.59440559,0.684965035,36.99300699,1958.391608,0.143356643,942.6573427,6.247165099,60333.31096,-1807.824545,-1813.056357,2.200347409,2.500033913
1356.643357,52.30769231,0.61993007,21.46853147,1434.615385,0.258041958,1009.79021,3.71987348,58589.84894,-1765.731169,-1772.522012,2.200681825,2.276071896
892.3076923,269.6503497,0.762587413,33.21678322,1982.867133,0.146153846,1362.237762,56.64724574,99094.18565,-2947.306704,-2952.362304,2.190390773,4.452277565
1261.538462,38.6013986,0.850699301,35.03496503,1943.706294,0.216083916,853.1468531,4.452902668,71081.77162,-2147.09034,-2156.182521,2.198077519,2.313324309
903.4965035,136.5034965,0.65979021,27.06293706,1331.818182,0.305594406,897.9020979,9.401795661,72909.1562,-2180.419936,-2186.058022,2.197654762,2.376752586
1076.923077,167.8321678,0.714335664,23.98601399,1503.146853,0.120979021,1440.559441,22.87238211,73486.57979,-2185.808141,-2189.502138,2.196987921,3.329915909
1541.258741,234.4055944,0.613636364,29.16083916,1444.405594,0.176923077,1155.244755,5.647355194,47854.88353,-1424.726911,-1427.36083,2.202518057,2.522907003
1020.979021,130.6293706,0.624125874,31.81818182,1718.531469,0.260839161,1530.06993,52.72484905,133424.081,-4007.820067,-4021.062407,2.177030625,2.930145719
1110.48951,206.993007,0.752097902,37.69230769,1468.881119,0.151748252,1507.692308,34.70502994,89391.39671,-2655.622891,-2659.619424,2.192824531,3.515984433
1384.615385,36.64335664,0.783566434,27.9020979,1987.762238,0.269230769,976.2237762,4.480358449,75250.7325,-2291.460688,-2304.342255,2.197096406,2.294507932
1496.503497,267.6923077,0.609440559,29.3006993,1361.188811,0.118181818,1490.909091,12.35800211,48167.35858,-1426.884378,-1428.400643,2.202469538,2.996720696
886.7132867,297.0629371,0.86958042,22.44755245,1586.363636,0.49020979,987.4125874,10.15605944,92660.76566,-2797.347166,-2808.948798,2.192393244,2.452176315
1479.72028,287.2727273,0.726923077,30.97902098,1419.93007,0.375524476,1339.86014,8.124288881,69297.65176,-2070.815094,-2075.907463,2.198480165,2.409266479
1200,91.46853147,0.777272727,26.92307692,1728.321678,0.341958042,1574.825175,23.69652103,122645.3843,-3707.073087,-3723.236104,2.182002498,2.513351575
998.6013986,183.4965035,0.812937063,23.56643357,1811.538462,0.330769231,1121.678322,13.70462678,100267.3765,-3035.462491,-3049.490904,2.190029495,2.577514011
1188.811189,134.5454545,0.720629371,24.26573427,1478.671329,0.411888112,948.2517483,4.513142039,65071.03898,-1958.552349,-1965.675172,2.19939359,2.292710217
1485.314685,30.76923077,0.75,38.67132867,1654.895105,0.481818182,1104.895105,6.00360441,71464.69927,-2144.197036,-2150.882927,2.197991282,2.249150264
1227.972028,109.0909091,0.791958042,22.58741259,1542.307692,0.274825175,1317.482517,9.876289124,86433.15152,-2604.671186,-2614.686817,2.194187551,2.447643723
1272.727273,185.4545455,0.666083916,39.93006993,1424.825175,0.428671329,1194.405594,12.0874947,76387.46928,-2277.972457,-2282.82554,2.196820693,2.345411826
1379.020979,281.3986014,0.875874126,32.37762238,1850.699301,0.244055944,1082.517483,6.405132348,64353.67897,-1927.418147,-1932.796096,2.199015517,2.581020692
813.986014,26.85314685,0.643006993,39.09090909,1860.48951,0.272027972,1261.538462,70.67886356,163247.7725,-4916.921557,-4935.412982,2.162763232,2.543209171
1462.937063,250.0699301,0.743706294,34.75524476,1782.167832,0.442657343,1200,8.25707811,78455.22114,-2359.231403,-2367.46358,2.196304213,2.385470252
1490.909091,95.38461538,0.856993007,20.90909091,1370.979021,0.218881119,925.8741259,1.617070643,44139.71151,-1325.255247,-1329.508999,2.203067275,2.287893813
836.3636364,295.1048951,0.838111888,25.66433566,1708.741259,0.417482517,1289.51049,34.5640101,134099.4811,-4044.169911,-4060.207683,2.176737011,2.869838461
953.8461538,93.42657343,0.764685315,31.25874126,1532.517483,0.493006993,1367.832168,31.04334334,125634.3206,-3771.377874,-3783.497476,2.180812166,2.41062079
1026.573427,113.006993,0.651398601,25.94405594,1694.055944,0.395104895,802.7972028,5.720002334,71920.89172,-2174.40235,-2183.943587,2.197884641,2.306343341
1591.608392,179.5804196,0.693356643,31.3986014,1929.020979,0.437062937,1535.664336,14.02649147,98823.42296,-2989.843009,-3003.339947,2.190494892,2.434276517
1317.482517,208.951049,0.676573427,26.08391608,1640.20979,0.355944056,1311.888112,11.363683,84560.93457,-2545.958173,-2555.364014,2.194702346,2.463407658
1328.671329,238.3216783,0.691258741,39.65034965,1605.944056,0.190909091,841.958042,4.519724697,47254.99658,-1406.821202,-1409.413746,2.20260979,2.477526244
1205.594406,103.2167832,0.877972028,25.52447552,1865.384615,0.171328671,1149.65035,9.017281674,78591.66864,-2365.736382,-2374.325536,2.195743759,2.636777354
1373.426573,114.965035,0.731118881,20.48951049,1909.440559,0.263636364,937.0629371,3.313339387,61354.00145,-1867.337899,-1877.651474,2.20014784,2.345290798
1457.342657,66.01398601,0.806643357,35.59440559,1664.685315,0.31958042,1188.811189,6.974085307,76433.57127,-2294.937343,-2302.368248,2.196808959,2.309471705
1351.048951,150.2097902,0.888461538,39.37062937,1596.153846,0.266433566,1451.748252,15.6441494,92230.88737,-2755.518157,-2762.216603,2.192521751,2.577677991
948.2517483,87.55244755,0.886363636,24.68531469,1953.496503,0.403496503,1474.125874,35.7845152,160963.0914,-4912.853522,-4942.491133,2.163943193,2.6280636
1194.405594,195.2447552,0.865384615,25.24475524,1508.041958,0.106993007,1580.41958,19.01070242,65049.78984,-1930.00542,-1932.488674,2.198866455,3.496251633
1345.454545,107.1328671,0.712237762,33.07692308,1831.118881,0.36993007,1434.965035,18.02865698,106598.6439,-3215.82848,-3228.794582,2.187925679,2.437362533
970.6293706,177.6223776,0.747902098,28.18181818,1791.958042,0.392307692,1015.384615,13.78494796,98632.23439,-2979.345382,-2991.997089,2.190555221,2.470668252
1311.888112,216.7832168,0.67027972,22.16783217,1933.916084,0.453846154,965.034965,4.762750015,71165.10846,-2170.486967,-2183.279818,2.198057382,2.337233757
1406.993007,154.1258741,0.882167832,38.81118881,1405.244755,0.246853147,1552.447552,14.77142783,84395.37362,-2513.715673,-2518.586857,2.194748562,2.567157741
981.8181818,54.26573427,0.745804196,30,1919.230769,0.112587413,1088.111888,19.8796127,92702.42805,-2782.389391,-2791.17765,2.191854005,2.920050418
1474.125874,111.048951,0.833916084,22.72727273,1723.426573,0.232867133,858.7412587,1.870008946,48807.81877,-1474.625487,-1480.83901,2.20184138,2.309394537
976.2237762,299.020979,0.680769231,23.42657343,1317.132867,0.35034965,830.7692308,5.128994333,58521.45682,-1750.888493,-1755.523638,2.200694359,2.375857139
808.3916084,64.05594406,0.894755245,37.83216783,1459.090909,0.364335664,808.3916084,10.37870192,84430.00747,-2522.447978,-2528.575786,2.194741444,2.310083699
1423.776224,20.97902098,0.628321678,32.65734266,1410.13986,0.132167832,1446.153846,13.36463585,80224.29426,-2397.473961,-2403.4031,2.195853858,2.382450632
1222.377622,122.7972028,0.890559441,39.51048951,1899.65035,0.462237762,1546.853147,29.23991153,134129.3608,-4039.8686,-4055.091787,2.177254965,2.503023424
1177.622378,181.5384615,0.794055944,34.8951049,1880.06993,0.311188811,1384.615385,24.26226597,113343.0137,-3409.453864,-3421.561448,2.185533806,2.719899305
